periodo_mes||institucion_nom||producto_nom||activo_mon||activo_mon_mes_ant
201909||China Construction Bank, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||12.00||0.00
201909||Banco Internacional||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||766.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||53230.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||31901069.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||0.00||0.00
201909||Banco Internacional||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||2653.00||0.00
201909||Scotiabank Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||5399.00||0.00
201909||Itaú Corpbanca||Colocaciones||22594958.00||0.00
201909||Scotiabank Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||0.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||0.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Provisiones||10129.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Provisiones||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||0.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Otros||116746.00||0.00
201909||Banco del Estado de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Provisiones para créditos con bancos del exterior||4705.00||0.00
