Prod_n3_id;Prod_n3_desc;Prod_n2_id
1011;Colocaciones (1);101
1021;Efectivo y depósitos en bancos;102
1031;Instrumentos financieros no derivados;103
1041;Instrumentos financieros derivados;104
1051;Contratos de retrocompra y préstamos de valores (activos);105
1061;Inversiones en sociedades y en sucursales en el exterior;106
1071;Activo fijo;107
1081;Activo por derecho a usar bienes en arrendamiento;108
1091;Activos Totales;109
1101;Créditos contingentes;110
1111;Colocaciones de comercio exterior totales;111
1121;Operaciones de leasing totales;112
1131;Operaciones de factoraje;113
1141;Cartera con morosidad de 90 días o más;114
1151;Cartera deteriorada;115
2011;Adeudado por bancos (neto de provisiones);201
2012;Créditos y cuentas por cobrar a clientes ;201
2021;Colocaciones;202
