tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,eea38842587d96b1829785fed1a634ad357bce5f47159a0b1dc7e1338461b03b,9/1/2019
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,79000,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,38b21a9954fcaea762041918a66b8cce88d4b040d8e85c7fd970acbc6272f6a1,9/1/2019
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Total,29975,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,1a78aa63dad68d036dc0ea3eb433920f005f74c23f93ffcffa00ad0e978ce8c0,9/1/2019
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,984651,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,da6a77ecb385d5b03d3be540901d0b1fb9a8aee5c389676d275617a164075273,9/1/2019
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Total,344890,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,a478e5005dd8b50e47691b022c5df779e41ec40ddd07962a144bb600511d4a33,9/1/2019
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,769252,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,ca011fdc4e72b971e2d4c72f852c6b91d1c14840734ca7a8b3ca795611ea16d4,9/1/2019
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Total,12764,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,04c2c60ead1e7e6209491c27cf8370a9831ca778db22ce7282c3cd95cb92b8fd,9/1/2019
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,be96d7dd9352ff41001ff71c126ca238eea0e8ea868a1b630b06e917bc2c9492,9/1/2019
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,3cbb8d295eafb41c667ba7c540b6c06b5c1feb5a2ec3c9906216a4562db36569,9/1/2019
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,b720217b834039e5881c0a405cbdddd01a3e9c0928ee029501de21d53cdc0112,9/1/2019
Banco Santander-Chile,Activos/Adeudado por bancos (neto de provisiones)/Total,4130,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,606dafb8e94a67f10ee77023b23cbaef91a68b63735db34565a7516f9bea68da,9/1/2019
Banco Security,Activos/Adeudado por bancos (neto de provisiones)/Total,3100,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,5e816cfbf5089b5c8c1e2549d6f9c1918bc02d482fa980033e2b402cd9d88892,9/1/2019
"Bank of China, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,7bdb67a098188f4881d2db28e0f549e0de28fbef3e7a80287d2f1ce10dff0294,9/1/2019
"China Construction Bank, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Total,5408,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,1e4cba22487663f285bdfcdccbc57fd52b69823523678b995bee9c439cf1ec75,9/1/2019
HSBC Bank (Chile),Activos/Adeudado por bancos (neto de provisiones)/Total,40065,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,d49c8c3248d2b31e1ef041b232d21d62c931966aba543b12c77a3f3dbb237eed,9/1/2019
Ita� Corpbanca,Activos/Adeudado por bancos (neto de provisiones)/Total,109516,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,4b94ab478a7c7a429af30d32dcb6ce8a3308e483e00ba8f0ee29b0ac40c7cb8d,9/1/2019
"JP Morgan Chase Bank, N.A.",Activos/Adeudado por bancos (neto de provisiones)/Total,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,9cdc87a048ea38edffc9da66560f983f15f334a6fd2573256acad0bad8edeef2,9/1/2019
