tbl_poc_cmf_institucion_mes.institucion_id,tbl_poc_cmf_institucion_mes.institucion_desc,tbl_poc_cmf_institucion_mes.mdm_fhnew,tbl_poc_cmf_institucion_mes.mdm_processnew,tbl_poc_cmf_institucion_mes.mdm_hash,tbl_poc_cmf_institucion_mes.periodo_mes
1,Banco Bice,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,b7ea5052b9ac321656df6ec037b5fea0dd04c9d23b9a566fb05b4517d622c963,2019-09-01
2,Banco BTG Pactual Chile,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,1877d5111750c91538e61471fbf3ff1ab2abfcc3e53b8690fb2cc9b47b04a6ac,2019-09-01
3,Banco Consorcio,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,2543c8be628d95a256e115f2abdc043e3f57dc9288231d025d32f0639d464564,2019-09-01
4,Banco de Chile,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,39502c59df0eadb1678ef24ea8bea450fa11833f5a3d93eb0a8f957b89342577,2019-09-01
5,Banco de Cr�dito e Inversiones,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,b6376c712f69d4a0bc2de7f0b89adc26fb201445cc449a65cb82f04d453e8268,2019-09-01
6,Banco del Estado de Chile,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,b5f095f248d2ee8f94d80db6f53cb5ea1a372fdfd725c45a7a1b4d89137f7b07,2019-09-01
7,Banco do Brasil S.A.,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,587117b180eb900c3682e3532ddf7fb93a2d5c4d890e6f9931ebfbd8e2c7cb21,2019-09-01
8,Banco Falabella,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,e2b4455bc569dd6bb0644efb444605592a2a440fcd440f93d724afcca7af92c7,2019-09-01
9,Banco Internacional,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,be5cfb0f9a5b853f2a819cebf7257cfa98931ea31281c3f00dc0cfbd6ff6f93e,2019-09-01
10,Banco Ripley,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,7f15b494d01d811a9b4b09363b2d52f01acf774bede3293f116327589318ccbe,2019-09-01
11,Banco Santander-Chile,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,26da5471f1f74370c626eea00f865c1b0afead43718ab2ab6eb8c0163bc1fbf1,2019-09-01
12,Banco Security,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,9ee526058c88fd021d25c5a751702fbe53036bd275ed7f091604cc55991e9643,2019-09-01
13,"Bank of China, Agencia en Chile",2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,5231513fef166f4cc15ffee0c4bc05cdaaa91e39455416687289b6c36c6c362e,2019-09-01
14,"China Construction Bank, Agencia en Chile",2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,9e0ad908eb4ddc6854c17b34f794882f2a84e52527fa4d6147cf167038e65138,2019-09-01
15,HSBC Bank (Chile),2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,2412c464cb6aef97877f34a3912e798ca86cafca0ed9a1e2322c3a1b76a07d03,2019-09-01
16,Banco Nacional del Pueblo,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,da9c9d7b493f11e1a058259da618ddcdefe8417314780aa8aa04f1937061ab24,2019-09-01
17,Ita� Corpbanca,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,a60b10a3fbfd0ec837891b72f0f608cc6bff4761fa149ea641ee39de3f72ef90,2019-09-01
18,"JP Morgan Chase Bank, N.A.",2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,de90c1f7f840830fbde9b0c37301c8e27898a2e98f1338909d526a890294a0e5,2019-09-01
19,Scotiabank Chile,2020-12-15 20:43:23.013,com_soluciones_poc_cmf_process_institucion_mes,3a7ac184b8baecc7538fdd0f904c0b60b685250e4adb6e27e0f5acff13e82eb8,2019-09-01
