tbl_poc_cmf_tablon_mes.producto_id,tbl_poc_cmf_tablon_mes.product_desc,tbl_poc_cmf_tablon_mes.prod_n5_id,tbl_poc_cmf_tablon_mes.prod_path,tbl_poc_cmf_tablon_mes.mdm_fhnew,tbl_poc_cmf_tablon_mes.mdm_processnew,tbl_poc_cmf_tablon_mes.mdm_hash,tbl_poc_cmf_tablon_mes.periodo_mes
1011111.00,Colocaciones (1),101111.00,Colocaciones (1),2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,9690f54043f9c3c5601cf14d18a3c83e4ce29288785e60c3d4d6b69362c0345e,2019-09-01
1021111.00,Efectivo y dep�sitos en bancos,102111.00,Efectivo y dep�sitos en bancos,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,3bbfc1ba7bd6527dd552298e7edd4cbf2494cc7efc7e7aa4ce4ef07634ca5254,2019-09-01
1031111.00,Instrumentos financieros no derivados,103111.00,Instrumentos financieros no derivados,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,c3cd1c42959d8534fee3347cc8c6b42745ad9f582471fe09385fe9d92608cc65,2019-09-01
1041111.00,Instrumentos financieros derivados,104111.00,Instrumentos financieros derivados,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,ca2f6f576218db8ee002604470c6de2020297d728274a37d5d6c615bb5be28bb,2019-09-01
1051111.00,Contratos de retrocompra y pr�stamos de valores (activos),105111.00,Contratos de retrocompra y pr�stamos de valores (activos),2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,bc93cb8e6909a797fc21af479a423540466a57217fb2a1be303b9586df0603fb,2019-09-01
1061111.00,Inversiones en sociedades y en sucursales en el exterior,106111.00,Inversiones en sociedades y en sucursales en el exterior,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,872b6f518be9792d66ceb5fe2535f65c0dfdfd578a403cb21679c9bedb972506,2019-09-01
1071111.00,Activo fijo,107111.00,Activo fijo,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,eb1265090843800f5356518f3fabdb54b7b21ed456bbfe7387ac683b80f5aca6,2019-09-01
1081111.00,Activo por derecho a usar bienes en arrendamiento,108111.00,Activo por derecho a usar bienes en arrendamiento,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,69a12bb5fbd6def1751877fadf09a588dff869f70117415a9c998b91a4d60f29,2019-09-01
1091111.00,Activos Totales,109111.00,Activos Totales,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,8b8595c4130ab3fbc02dd0903fa69366bfe1cefc1cd419e8c3524b14e20fcf6f,2019-09-01
1101111.00,Cr�ditos contingentes,110111.00,Cr�ditos contingentes,2020-12-15 20:19:29.809,com_soluciones_poc_cmf_process_tablon_mes,ece13a6964ecb078799efb168128e3e060c272e1356cbe37a20a9c31137faefc,2019-09-01
