Instituciones;Producto;Monto
Banco Bice;Colocaciones (1);6552499.0
Banco BTG Pactual Chile;Colocaciones (1);1103564.0
Banco Consorcio;Colocaciones (1);3787986.0
Banco de Chile;Colocaciones (1);31082779.0
Banco de Crédito e Inversiones;Colocaciones (1);38872018.0
Banco del Estado de Chile;Colocaciones (1);28280539.0
Banco do Brasil S.A.;Colocaciones (1);37677.0
Banco Falabella;Colocaciones (1);3543518.0
Banco Internacional;Colocaciones (1);2216959.0
Banco Ripley;Colocaciones (1);762332.0
Banco Santander-Chile;Colocaciones (1);35287963.0
Banco Security;Colocaciones (1);6225354.0
Bank of China, Agencia en Chile;Colocaciones (1);0.0
China Construction Bank, Agencia en Chile;Colocaciones (1);272497.0
HSBC Bank (Chile);Colocaciones (1);177457.0
Banco Nacional del Pueblo;Colocaciones (1);-10.0
Itaú Corpbanca;Colocaciones (1);24398644.0
JP Morgan Chase Bank, N.A.;Colocaciones (1);0.0
Scotiabank Chile;Colocaciones (1);26537513.0
Banco Bice;Efectivo y depósitos en bancos;1208272.0
Banco BTG Pactual Chile;Efectivo y depósitos en bancos;160288.0
Banco Consorcio;Efectivo y depósitos en bancos;860738.0
Banco de Chile;Efectivo y depósitos en bancos;2247451.0
Banco de Crédito e Inversiones;Efectivo y depósitos en bancos;4201926.0
Banco del Estado de Chile;Efectivo y depósitos en bancos;5455929.0
Banco do Brasil S.A.;Efectivo y depósitos en bancos;4524.0
Banco Falabella;Efectivo y depósitos en bancos;276590.0
Banco Internacional;Efectivo y depósitos en bancos;503712.0
Banco Ripley;Efectivo y depósitos en bancos;70911.0
Banco Santander-Chile;Efectivo y depósitos en bancos;3776118.0
Banco Security;Efectivo y depósitos en bancos;421417.0
Bank of China, Agencia en Chile;Efectivo y depósitos en bancos;7264.0
China Construction Bank, Agencia en Chile;Efectivo y depósitos en bancos;30518.0
HSBC Bank (Chile);Efectivo y depósitos en bancos;445611.0
Banco Nacional del Pueblo;Efectivo y depósitos en bancos;-10.0
Itaú Corpbanca;Efectivo y depósitos en bancos;2129179.0
JP Morgan Chase Bank, N.A.;Efectivo y depósitos en bancos;1174203.0
Scotiabank Chile;Efectivo y depósitos en bancos;2238865.0
Banco Bice;Instrumentos financieros no derivados;821359.0
Banco BTG Pactual Chile;Instrumentos financieros no derivados;285595.0
Banco Consorcio;Instrumentos financieros no derivados;1550065.0
Banco de Chile;Instrumentos financieros no derivados;5576749.0
Banco de Crédito e Inversiones;Instrumentos financieros no derivados;8289893.0
Banco del Estado de Chile;Instrumentos financieros no derivados;8688743.0
Banco do Brasil S.A.;Instrumentos financieros no derivados;0.0
Banco Falabella;Instrumentos financieros no derivados;1056828.0
Banco Internacional;Instrumentos financieros no derivados;485746.0
Banco Ripley;Instrumentos financieros no derivados;215301.0
Banco Santander-Chile;Instrumentos financieros no derivados;5502429.0
Banco Security;Instrumentos financieros no derivados;1272741.0
Bank of China, Agencia en Chile;Instrumentos financieros no derivados;28722.0
China Construction Bank, Agencia en Chile;Instrumentos financieros no derivados;0.0
HSBC Bank (Chile);Instrumentos financieros no derivados;450017.0
Banco Nacional del Pueblo;Instrumentos financieros no derivados;-10.0
Itaú Corpbanca;Instrumentos financieros no derivados;5298237.0
JP Morgan Chase Bank, N.A.;Instrumentos financieros no derivados;180891.0
Scotiabank Chile;Instrumentos financieros no derivados;2426040.0
Banco Bice;Instrumentos financieros derivados;146340.0
Banco BTG Pactual Chile;Instrumentos financieros derivados;94127.0
Banco Consorcio;Instrumentos financieros derivados;100804.0
Banco de Chile;Instrumentos financieros derivados;3983317.0
Banco de Crédito e Inversiones;Instrumentos financieros derivados;6889459.0
Banco del Estado de Chile;Instrumentos financieros derivados;2193718.0
Banco do Brasil S.A.;Instrumentos financieros derivados;53.0
