Instituciones;Producto;Monto
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;894175.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Total;360533.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;685352.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;15730.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;5295.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Total;1301.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
China Construction Bank, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;5383.0
HSBC Bank (Chile);Activos/Adeudado por bancos (neto de provisiones)/Total;45936.0
Itaú Corpbanca;Activos/Adeudado por bancos (neto de provisiones)/Total;67451.0
JP Morgan Chase Bank, N.A.;Activos/Adeudado por bancos (neto de provisiones)/Total;0.0
Scotiabank Chile;Activos/Adeudado por bancos (neto de provisiones)/Total;316399.0
Banco Bice;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco BTG Pactual Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Consorcio;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);470023.0
Banco de Crédito e Inversiones;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco del Estado de Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);762.0
Banco do Brasil S.A.;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);15742.0
Banco Falabella;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Internacional;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Ripley;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Santander-Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
Banco Security;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);566.0
Bank of China, Agencia en Chile;Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1);0.0
