Prod_n2_id;Prod_n2_desc;Prod_n1_id
101;Colocaciones (1);1
102;Efectivo y depósitos en bancos;1
103;Instrumentos financieros no derivados;1
104;Instrumentos financieros derivados;1
105;Contratos de retrocompra y préstamos de valores (activos);1
106;Inversiones en sociedades y en sucursales en el exterior;1
107;Activo fijo;1
108;Activo por derecho a usar bienes en arrendamiento;1
109;Activos Totales;1
110;Créditos contingentes;1
111;Colocaciones de comercio exterior totales;1
112;Operaciones de leasing totales;1
113;Operaciones de factoraje;1
114;Cartera con morosidad de 90 días o más;1
115;Cartera deteriorada;1
201;Activos;2
202;Colocaciones;2
