Prod_n5_Id;Prod_n5_desc;Prod_n4_Id
101111;Colocaciones (1);10111
102111;Efectivo y depósitos en bancos;10211
103111;Instrumentos financieros no derivados;10311
104111;Instrumentos financieros derivados;10411
105111;Contratos de retrocompra y préstamos de valores (activos);10511
106111;Inversiones en sociedades y en sucursales en el exterior;10611
107111;Activo fijo;10711
108111;Activo por derecho a usar bienes en arrendamiento;10811
109111;Activos Totales;10911
110111;Créditos contingentes;11011
111111;Colocaciones de comercio exterior totales;11111
112111;Operaciones de leasing totales;11211
113111;Operaciones de factoraje;11311
114111;Cartera con morosidad de 90 días o más;11411
115111;Cartera deteriorada;11511
201111;Total;20111
201121;Total (1);20112
201122;Préstamos interbancarios;20112
201123;Créditos de comercio exterior;20112
201124;Provisiones para créditos con bancos del país;20112
201131;Total (1);20113
201132;Préstamos interbancarios;20113
201133;Créditos de comercio exterior;20113
201134;Provisiones para créditos con bancos del exterior;20113
201141;Banco Central de Chile;20114
201211;Total (1);20121
201221;Provisiones constituidas de créd. y ctas. por cob. a clientes;20122
201231;Colocaciones;20123
201232;Provisiones;20123
201241;Total;20124
201242;Provisiones;20124
201243;Consumo (1);20124
201244;Vivienda (1);20124
202111;Colocaciones;20211
